run_id,server,load,rps,requests,latency_avg_ms,latency_p95,errors,checks_passed,checks_total,mem_mb,cpu_perc
results-20251120T135112,apache-event,100,32155.247723208257,321670,2.9295066796810887,12.324866,321670,321670,321670,25.16,338.2216666666667
results-20251120T135112,apache-event,1000,18706.186998900794,220617,34.875059504951146,75.67834939999997,220617,220617,220617,36.35714285714286,311.22285714285715
results-20251120T135112,apache-event,10000,5121.131097205587,205207,367.25711671007804,531.833113299999,203603,203603,205207,41.93047619047619,89.4190476190476
results-20251120T135112,apache-event,5000,4835.180817125068,193502,325.54650433743836,486.90205904999925,192241,192240,193501,41.96761904761905,85.31666666666668
results-20251120T135112,apache-prefork,100,32763.387408957868,327682,2.86765535438013,5.812433,327682,327682,327682,23.763666666666666,301.30999999999995
results-20251120T135112,apache-prefork,1000,9197.954101659556,367934,52.150062757424166,12.426220649999996,367934,367934,367934,48.35190476190477,104.2609523809524
results-20251120T135112,apache-prefork,10000,7836.419344730048,314002,59.68658764731455,18.56887435000002,312032,312032,314002,48.7947619047619,84.7409523809524
results-20251120T135112,apache-prefork,5000,6303.645449353034,252640,83.63075672621477,15.862714499999996,252180,252179,252639,48.71380952380953,69.43761904761905
results-20251120T135112,nginx,100,30263.931988647317,302672,2.7757385678589785,10.007001600000002,302672,302672,302672,24.224999999999998,164.18833333333333
results-20251120T135112,nginx,1000,34838.640318869126,348942,14.043964469152352,39.57965315,348942,348942,348942,32.23333333333333,184.87666666666667
results-20251120T135112,nginx,10000,15793.433726275664,159052,165.95265423768925,485.0670005499989,159052,159052,159052,39.042857142857144,126.71857142857144
results-20251120T135112,nginx,5000,32820.352608567526,329504,81.85408071365528,188.06837264999993,329504,329504,329504,33.080000000000005,231.85166666666666
results-20251120T142115,apache-event,100,30327.311699431688,303587,3.1067166496720304,12.441334700000004,303587,303587,303587,18.111666666666665,329.955
results-20251120T142115,apache-event,1000,13690.908950414518,205539,42.099173655983016,85.12724119999999,205539,205539,205539,29.546250000000004,243.79625000000004
results-20251120T142115,apache-event,10000,4626.5539014441065,185387,346.15012186096186,864.3652035999999,183945,183945,185387,33.09095238095237,85.48142857142855
results-20251120T142115,apache-event,5000,4049.8076945534544,162032,317.59036799056605,472.3230229999999,160839,160839,162032,32.172380952380955,76.13666666666666
results-20251120T142115,apache-prefork,100,31975.748950666508,320052,2.9450793091528373,5.7660659500000015,320052,320052,320052,23.62516666666667,297.91
results-20251120T142115,apache-prefork,1000,8573.381646157915,342950,55.305441507269414,15.53288224999997,342950,342950,342950,48.23666666666666,92.77666666666667
results-20251120T142115,apache-prefork,10000,6918.246405132275,277221,65.15213943567781,18.875337,274512,274512,277221,48.65809523809525,83.3104761904762
results-20251120T142115,apache-prefork,5000,7712.937483271299,308719,60.32006124285854,14.328838099999999,307958,307958,308719,48.76000000000002,86.6247619047619
results-20251120T142115,nginx,100,27844.757740398145,278570,2.977507728840155,10.993169499999999,278570,278570,278570,12.19,155.39666666666668
results-20251120T142115,nginx,1000,31740.865289847017,317641,15.46460545979221,43.04081,317641,317641,317641,16.85166666666667,174.42499999999998
results-20251120T142115,nginx,10000,17428.52063183209,176087,152.59000388170307,329.1400400999998,176087,176087,176087,29.28333333333333,155.71166666666667
results-20251120T142115,nginx,5000,30499.0938618373,307832,79.83955696678267,168.49792490000002,307832,307832,307832,22.218333333333334,201.25333333333333
results-20251120T142702,apache-event,100,29316.72716355233,293461,3.211152603773635,12.886528,293461,293461,293461,19.064999999999998,324.40166666666664
results-20251120T142702,apache-event,1000,13655.645399876732,204898,43.742682330896564,80.57359614999999,204898,204898,204898,32.48125,251.07
results-20251120T142702,apache-event,10000,4705.5972267663765,188433,359.37945063562006,533.8480313999999,187030,187030,188433,33.66047619047619,85.25380952380952
results-20251120T142702,apache-event,5000,4711.587643830271,188553,284.29591424769,451.5102317999997,188117,188117,188553,31.78047619047619,84.74142857142856
results-20251120T142702,apache-prefork,100,32651.908118365725,326609,2.8871747906396026,5.347925599999993,326609,326609,326609,22.810166666666664,297.38666666666666
results-20251120T142702,apache-prefork,1000,8733.365277750449,349347,58.16324647139128,15.638097000000004,349347,349347,349347,47.10428571428573,99.81095238095239
results-20251120T142702,apache-prefork,10000,7639.200932065103,306202,63.196894681951896,19.04759090000001,305862,305862,306202,47.57142857142857,84.09095238095237
results-20251120T142702,apache-prefork,5000,6825.3689230414675,273218,64.60146368239279,21.476904499999996,271845,271845,273218,47.51904761904761,77.64285714285714
results-20251120T142702,nginx,100,38841.051457809044,388562,2.2524120410565662,7.893219000000002,388562,388562,388562,12.421666666666667,211.79999999999998
results-20251120T142702,nginx,1000,34001.23364463019,340210,14.947716067707994,47.61998355,340210,340210,340210,19.991666666666667,190.91
results-20251120T142702,nginx,10000,26632.409819682434,268111,156.70435787826327,404.7231865,268111,268111,268111,31.27,230.03833333333333
results-20251120T142702,nginx,5000,28683.722426591157,288256,92.73086566289439,203.936631,288256,288256,288256,19.963333333333335,213.06833333333336
results-20251120T143245,apache-event,100,30067.83178970355,300772,3.124119414566559,12.2195085,300772,300772,300772,17.493333333333336,332.43
results-20251120T143245,apache-event,1000,9699.243973580998,193208,52.82575613369025,93.73218304999995,193208,193208,193208,33.2309090909091,176.47636363636363
results-20251120T143245,apache-event,10000,5686.0576623929,227870,225.741293728565,253.44172544999995,227243,227242,227869,33.89238095238094,100.96285714285716
results-20251120T143245,apache-event,5000,5070.913130479796,202934,274.83844051328566,303.99858009999843,202004,202004,202934,35.699523809523804,89.34333333333333
