run_id,server,load,rps,requests,latency_avg_ms,latency_p95,errors,checks_passed,checks_total,mem_mb,cpu_perc
results-20251116T141520,apache-event,100,32398.454522326763,324200,2.915987085863732,10.804378549999996,324200,324200,324200,17.376666666666665,381.57166666666666
results-20251116T141520,apache-event,1000,12261.837000446882,184139,42.29775160557527,89.62679150000002,184139,184139,184139,29.21625,224.14125
results-20251116T141520,apache-event,5000,4961.265802460222,198529,269.221466346328,458.5987368,198167,198167,198529,32.829047619047614,89.52952380952381
results-20251116T141520,apache-prefork,100,21598.32097830719,216146,4.19681820094291,9.427418,216146,216146,216146,22.6905,210.1583333333333
results-20251116T141520,apache-prefork,1000,7894.442290942952,315789,62.0431383944311,20.76791059999998,315789,315789,315789,46.90285714285712,88.56333333333335
results-20251116T141520,apache-prefork,5000,7082.43927639335,283625,64.94316711566984,30.03454039999998,283619,283619,283625,47.505714285714284,77.63666666666667
results-20251116T141520,nginx,100,22556.093828470566,225683,3.5614346001382606,13.691434999999998,225683,225683,225683,11.74,129.57
results-20251116T141520,nginx,1000,31645.510356707215,317008,16.528476482527292,48.32942044999975,317008,317008,317008,15.884999999999998,170.86333333333334
results-20251116T141520,nginx,5000,30287.574930631352,303724,78.72966431206585,180.09043754999996,303724,303724,303724,20.378333333333334,205.91166666666663
results-20251116T150957,apache-event,100,30690.56614215374,307025,3.074358414806607,12.614457799999995,307025,307025,307025,18.618333333333336,338.1166666666667
results-20251116T150957,apache-event,1000,14620.230411578237,219862,43.5490414126407,75.38744984999997,219862,219862,219862,30.6775,266.11625000000004
results-20251116T150957,apache-event,5000,4920.075232254084,196893,256.5001718872844,286.8384589999996,196880,196880,196893,31.796666666666667,90.00952380952378
results-20251116T150957,apache-prefork,100,32016.217178284478,320317,2.8815705033451278,6.139504400000012,320317,320317,320317,21.411833333333334,310.855
results-20251116T150957,apache-prefork,1000,8268.935348339173,330764,60.13938859078686,13.33360449999999,330764,330764,330764,46.010476190476176,92.82380952380953
results-20251116T150957,apache-prefork,5000,7252.245037464197,290334,61.94480236803871,21.022439499999997,289152,289152,290334,47.49714285714286,81.21619047619049
results-20251116T150957,nginx,100,37139.648129191744,371515,2.341221229681227,8.306236,371515,371515,371515,14.901666666666669,211.56833333333338
results-20251116T150957,nginx,1000,32543.849770028428,328803,14.943099974477258,45.757111799999954,328803,328803,328803,20.923333333333332,186.255
results-20251116T150957,nginx,5000,30328.289120484016,304513,79.63394603497636,180.40928679999996,304513,304513,304513,21.12333333333333,207.58
results-20251116T152801,apache-event,100,29989.316822553956,300011,3.14406980691711,12.8339265,300011,300011,300011,18.794999999999998,331.53000000000003
results-20251116T152801,apache-event,1000,18986.25932440877,218000,34.68392662814665,76.90200959999999,218000,218000,218000,25.821428571428566,297.9328571428572
results-20251116T152801,apache-event,5000,4576.378760475566,183101,289.6409562480231,486.715079,182071,182071,183101,31.39190476190476,85.42476190476191
results-20251116T152801,apache-prefork,100,30558.375182461077,305717,3.073939567387472,6.156659000000001,305717,305717,305717,23.330833333333334,283.685
results-20251116T152801,apache-prefork,1000,8834.360598000801,353388,56.23304050213085,16.10099764999997,353388,353388,353388,48.15428571428573,100.80571428571427
results-20251116T152801,apache-prefork,5000,6993.645649680548,280011,64.39350885279508,21.6544065,279007,279007,280011,48.65666666666665,77.08
results-20251116T152801,nginx,100,38029.837138298964,380561,2.313273901182699,8.158191,380561,380561,380561,12.505000000000003,210.92333333333337
results-20251116T152801,nginx,1000,37741.90498147591,377955,13.541425473860684,38.260873000000004,377955,377955,377955,19.111666666666668,212.735
results-20251116T152801,nginx,5000,30060.488676062232,302586,66.14256153591859,173.86103075,302586,302586,302586,19.145,203.635
